anio,demanda_gwh,pib_mmm_cop2015,fuente_demanda
2000,42246,430506,XM_hist
2001,43206,437729,XM_hist
2002,44499,448690,XM_hist
2003,45768,466271,XM_hist
2004,47019,491137,XM_hist
2005,48829,514853,XM_hist
2006,50815,549435,XM_hist
2007,52853,586457,XM_hist
2008,53870,605713,XM_hist
2009,54679,612616,XM_hist
2010,56148,640151,XM_hist
2011,57150,684628,XM_hist
2012,59370,711415,XM_hist
2013,60890,747939,XM_hist
2014,63571,781589,XM_hist
2015,66174,804692,XM_hist
2016,66320,821489,XM_hist
2017,66893,832656,XM_verificado
2018,69129,854008,XM_verificado
2019,71925,881224,XM_verificado
2020,70422,817900,XM_verificado
2021,74117,906243,XM_verificado
2022,76656,972655,UPME_jul2024
2023,79982,980843,XM_verificado
2024,82085,995490,XM_verificado
2025,84235,1021791,XM_calculado_2.62pct
