anio,sin_gwh_medio,sin_gce_me_gwh_medio,sin_gce_me_gd_gwh_medio,pmax_sin_mw_medio,pmax_sin_gce_me_gd_mw_medio
2024,79701,83512,83023,11380,11704
2025,80741,86210,85544,11419,12122
2026,82813,90111,89253,11626,12578
2027,84748,92352,91289,11831,12779
2028,86593,94614,93342,12005,12948
2029,88372,97256,95790,12177,13188
2030,90193,99323,97682,12352,13364
2031,92198,101972,100155,12538,13580
2032,94104,104623,102655,12726,13838
2033,96030,107377,105286,12911,14088
2034,98205,110408,108188,13098,14354
2035,100335,113624,111295,13295,14661
2036,102492,116933,114515,13494,14998
2037,104890,120598,118075,13701,15341
2038,107193,124182,121569,13913,15685
