anio,sin_organico_gwh,cuna_gce_me_gwh,demanda_bruta_gwh,E0_upme_mw,E0_upme_gen_gwh,E0_upme_neta_gwh,E0_upme_pct_umbral_total,E0_upme_pct_umbral_fe,E1_creg4_mw,E1_creg4_gen_gwh,E1_creg4_neta_gwh,E1_creg4_pct_umbral_total,E1_creg4_pct_umbral_fe,E2_espana_mw,E2_espana_gen_gwh,E2_espana_neta_gwh,E2_espana_pct_umbral_total,E2_espana_pct_umbral_fe,E3_pnuma_mw,E3_pnuma_gen_gwh,E3_pnuma_neta_gwh,E3_pnuma_pct_umbral_total,E3_pnuma_pct_umbral_fe
2026,86879.0,1829.0,88708.0,896.0,1295.0,87413.0,2.15,0.86,1669.0,2412.0,86296.0,4.0,1.6,842.0,1217.0,87491.0,2.02,0.81,824.0,1191.0,87517.0,1.97,0.79
2027,89591.0,2135.0,91726.0,1244.0,1798.0,89928.0,2.88,1.15,1726.0,2495.0,89231.0,4.0,1.6,1077.0,1557.0,90169.0,2.5,1.0,1051.0,1519.0,90207.0,2.44,0.97
2028,92390.0,2552.0,94942.0,1727.0,2496.0,92446.0,3.87,1.55,1787.0,2583.0,92359.0,4.0,1.6,1365.0,1973.0,92969.0,3.06,1.22,1342.0,1940.0,93002.0,3.0,1.2
2029,95273.0,3415.0,98688.0,2399.0,3468.0,95220.0,5.17,2.07,1857.0,2684.0,96004.0,4.0,1.6,1718.0,2483.0,96205.0,3.7,1.48,1714.0,2477.0,96211.0,3.69,1.48
2030,98248.0,3661.0,101909.0,3331.0,4815.0,97094.0,6.95,2.78,1918.0,2772.0,99137.0,4.0,1.6,2119.0,3063.0,98846.0,4.42,1.77,2188.0,3163.0,98746.0,4.56,1.83
2031,101315.0,4305.0,105620.0,3597.0,5199.0,100421.0,7.24,2.9,1988.0,2873.0,102747.0,4.0,1.6,2585.0,3736.0,101884.0,5.2,2.08,2794.0,4038.0,101582.0,5.62,2.25
2032,104478.0,5050.0,109528.0,3884.0,5614.0,103914.0,7.54,3.02,2061.0,2979.0,106549.0,4.0,1.6,3107.0,4491.0,105037.0,6.03,2.41,3567.0,5156.0,104372.0,6.92,2.77
2033,107739.0,5878.0,113617.0,4194.0,6062.0,107555.0,7.85,3.14,2138.0,3090.0,110527.0,4.0,1.6,3675.0,5312.0,108305.0,6.88,2.75,4554.0,6582.0,107035.0,8.52,3.41
2034,111101.0,6734.0,117835.0,4529.0,6546.0,111289.0,8.17,3.27,2217.0,3204.0,114631.0,4.0,1.6,4276.0,6181.0,111654.0,7.71,3.09,5815.0,8405.0,109430.0,10.49,4.2
2035,114569.0,7820.0,122389.0,4891.0,7069.0,115320.0,8.49,3.4,2303.0,3329.0,119060.0,4.0,1.6,4903.0,7087.0,115302.0,8.52,3.41,7424.0,10731.0,111658.0,12.89,5.16
2036,118144.0,8972.0,127116.0,5282.0,7635.0,119481.0,8.83,3.53,2392.0,3457.0,123659.0,4.0,1.6,5539.0,8006.0,119110.0,9.26,3.7,7424.0,10731.0,116385.0,12.41,4.97
2037,121831.0,10239.0,132070.0,5704.0,8245.0,123825.0,9.18,3.67,2485.0,3592.0,128478.0,4.0,1.6,6174.0,8924.0,123146.0,9.94,3.97,7424.0,10731.0,121339.0,11.95,4.78
2038,125633.0,11520.0,137153.0,6159.0,8902.0,128251.0,9.55,3.82,2581.0,3731.0,133422.0,4.0,1.6,6794.0,9820.0,127333.0,10.53,4.21,7424.0,10731.0,126422.0,11.51,4.6
2039,129553.0,12753.0,142306.0,6651.0,9613.0,132693.0,9.93,3.97,2678.0,3871.0,138435.0,4.0,1.6,7391.0,10683.0,131623.0,11.04,4.42,7424.0,10731.0,131575.0,11.09,4.44
2040,133595.0,13987.0,147582.0,7182.0,10381.0,137201.0,10.34,4.14,2777.0,4014.0,143568.0,4.0,1.6,7964.0,11511.0,136071.0,11.47,4.59,7424.0,10731.0,136851.0,10.69,4.28
